nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Drémil-Lafage,2473,2600,127
Liévin,31873,32000,127
Mamers,5473,5600,127
Sainte-Foy-la-Grande,2474,2600,126
Heillecourt,5774,5900,126
Vandœuvre-lès-Nancy,30974,31100,126
Pauillac,5075,5200,125
Pont-Sainte-Maxence,11775,11900,125
Neuville-sur-Saône,7275,7400,125
Bohain-en-Vermandois,5976,6100,124
Auch,21576,21700,124
Montayral,2876,3000,124
Croix,20676,20800,124
Chantilly,10876,11000,124
Saint-Cyprien,10476,10600,124
Longuyon,5577,5700,123
Saint-Aubin-du-Cormier,3578,3700,122
Vernou-sur-Brenne,2678,2800,122
Orchies,8178,8300,122
Rouvroy,8778,8900,122
Douvrin,4978,5100,122
Sèvres,22978,23100,122
Falaise,8279,8400,121
Sauveterre,1779,1900,121
Le Pouliguen,4979,5100,121
Maurepas,18679,18800,121
Ézanville,8979,9100,121
Jonzac,3480,3600,120
Ouzouer-des-Champs,280,400,120
Nouan-le-Fuzelier,2381,2500,119
Seichamps,4981,5100,119
Gaillard,11181,11300,119
Quincampoix,3081,3200,119
Neufchâteau,6881,7000,119
Valenton,12081,12200,119
Sourdeval,2782,2900,118
Cormontreuil,6082,6200,118
Langres,8082,8200,118
Mouy,5282,5400,118
Chauny,11983,12100,117
Montignac,2783,2900,117
Saint-Gaultier,1883,2000,117
Ramatuelle,2183,2300,117
Bagnolet,33883,34000,117
Chamboulive,1184,1300,116
L'Isle-en-Dodon,1984,2100,116
Saint-Malo-de-Beignon,484,600,116
Saint-Jean-le-Blanc,8185,8300,115
Saint-Lary-Soulan,885,1000,115
Palaiseau,30285,30400,115
Vico,885,1000,115
Ménéac,1586,1700,114
Andeville,3186,3300,114
Coulogne,5686,5800,114
Saint-Pourçain-sur-Sioule,4987,5100,113
Saint-Clément-de-Rivière,4987,5100,113
Chalindrey,2587,2700,113
Nieppe,7587,7700,113
Éleu-dit-Leauwette,2887,3000,113
Saint-Amarin,2387,2500,113
Notre-Dame-de-Bondeville,6987,7100,113
Bourg-en-Bresse,40088,40200,112
Saint-Xandre,4488,4600,112
Valentigney,11388,11500,112
Saint-Pryvé-Saint-Mesmin,5188,5300,112
Haveluy,3088,3200,112
Helfaut,1688,1800,112
Saint-Mesmin,1788,1900,112
Cabourg,3889,4000,111
Sennecey-lès-Dijon,2189,2300,111
Carantec,3189,3300,111
Saint-Sever,4789,4900,111
Auboué,2589,2700,111
Isbergues,9289,9400,111
Romagnat,8089,8200,111
Loudun,6989,7100,111
Contrexéville,3389,3500,111
Jouy-le-Moutier,16589,16700,111
Longvic,9290,9400,110
Sainte-Livrade-sur-Lot,6290,6400,110
Prouvy,2290,2400,110
Saint-Pierre-d'Irube,4390,4500,110
Brain-sur-l'Authion,3291,3400,109
Quarouble,3091,3200,109
Ablain-Saint-Nazaire,1791,1900,109
Guilvinec,2892,3000,108
Lambres-lez-Douai,5092,5200,108
Moissac,12192,12300,108
Chasseneuil-du-Poitou,4492,4600,108
Boussy-Saint-Antoine,6292,6400,108
Villetaneuse,12592,12700,108
Auvers-sur-Oise,6792,6900,108
Honfleur,8093,8200,107
